Start time: 22:52
graph file: /mnt/data/mocheng/dataset/sift/nhqkg/index/nhqkg_index_sel_1_8_random_L100_iter12S10_R300_RANGE40_PL1000_B0.4_M1
attributetable file: /mnt/data/mocheng/dataset/sift/nhqkg/index/nhqkg_attr_sel_1_8_random_L100_iter12S10_R300_RANGE40_PL1000_B0.4_M1
data file: /mnt/data/mocheng/dataset/sift/sift_base.fvecs
query file: /mnt/data/mocheng/dataset/sift/sift_query.fvecs
query attr file: /mnt/data/mocheng/dataset/sift/sel_1_8_random/sift_qrange_keyword.txt
groundtruth file: /mnt/data/mocheng/dataset/sift/sel_1_8_random/sif_gt_10.json
K: 10
weight search: 140000
L search: 500
data dimension: 128
align with : 8
align to new dim: 128
data dimension: 128
align with : 8
align to new dim: 128
query num: 10000 query dim: 128
gt size: 100000
qrange size: 10000
attribute dim:1
attribute number:1000000
Average Degree = 17
1|7|4|6|3|0|5|2|
Search Time: 9.30216 10NN accuracy: 0.99969 Distcount: 52758879 Avgdistcount: 5275.89 qps: 1075.02
PID: 773469
Name:	test_dng_optimi
VmPeak:	 2506876 kB
VmHWM:	 1337632 kB
release index.
	Command being timed: "../NHQ-main/NHQ-NPG_kgraph/build/tests/test_dng_optimized_search /mnt/data/mocheng/dataset/sift/nhqkg/index/nhqkg_index_sel_1_8_random_L100_iter12S10_R300_RANGE40_PL1000_B0.4_M1 /mnt/data/mocheng/dataset/sift/nhqkg/index/nhqkg_attr_sel_1_8_random_L100_iter12S10_R300_RANGE40_PL1000_B0.4_M1 /mnt/data/mocheng/dataset/sift/sift_base.fvecs /mnt/data/mocheng/dataset/sift/sift_query.fvecs /mnt/data/mocheng/dataset/sift/sel_1_8_random/sift_qrange_keyword.txt /mnt/data/mocheng/dataset/sift/sel_1_8_random/sif_gt_10.json 10 140000 500"
	User time (seconds): 9.85
	System time (seconds): 1.44
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:11.29
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1337632
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 460060
	Voluntary context switches: 1
	Involuntary context switches: 31
	Swaps: 0
	File system inputs: 0
	File system outputs: 8
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
