ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
0.0,0.0,2333.84,935.351,0.0,801.0,16530.299,0.0,0.001
0.0,0.0,2620.05,1295.1,0.0,898.0,9701.5298,1149.6335,0.002
0.0,0.0,2796.63,1503.66,0.0,944.0,7050.9025,870.0517,0.003
0.0,0.0,2830.04,1887.05,0.0,983.0,5644.835,1024.2527,0.004
0.0,0.0,2882.5,2008.95,3268.0,1000.0,4757.0138,859.4837,0.005
2401.26,0.0,0.0,0.0,2030.0,1019.0,0.0,946.0367,0.006
0.0,0.0,0.0,0.0,1802.0,0.0,0.0,870.0175,0.007
0.0,0.0,0.0,0.0,1914.0,0.0,0.0,924.8994,0.008
0.0,0.0,0.0,0.0,1585.0,0.0,0.0,974.8112,0.009000000000000001
1700.971,21413.558,3080.89,3436.75,1653.0,1064.0,4897.0553,1016.5116,0.01
