ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
0.0,0.0,2792.16,1307.56,0,801.0,16530.299,0.0,0.001
0.0,0.0,2620.05,1815.29,0,1235.0,9701.5298,0.0,0.002
0.0,0.0,2796.63,2256.21,0,1303.0,8149.6507,1814.1556,0.003
0.0,0.0,2830.04,2572.71,0,1363.0,7800.3137,1716.958,0.004
0.0,0.0,3371.97,4483.34,0,1385.0,6579.1813,1935.981,0.005
0.0,0.0,0.0,0.0,0,1416.0,0.0,2128.6523,0.006
0.0,0.0,0.0,0.0,0,0.0,0.0,2296.1631,0.007
0.0,0.0,0.0,0.0,0,0.0,0.0,1805.861,0.008
0.0,0.0,0.0,0.0,0,0.0,0.0,1903.5976,0.009000000000000001
6051.948,53107.595,3871.76,5660.95,0,1485.0,4897.0553,1987.9519,0.01
