ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
2451.908,0,4017.8,6206.92,1592.0,1227.0,1201.4121,1297.1813,0.1
2941.44,0,4134.17,0.0,1941.0,1268.0,1409.303,1353.6726,0.2
3105.25,0,3874.03,0.0,2059.0,1284.0,3000790.0,1374.7639,0.30000000000000004
3158.373,0,4185.69,0.0,2148.0,1301.0,4001018.0,1383.3329,0.4
3166.509,0,4407.37,0.0,2232.0,1285.0,5001335.0,1704.1367,0.5
3961.765,0,3479.96,0.0,2310.0,1330.0,6001440.0,1700.9356,0.6000000000000001
4821.448,0,3009.71,0.0,2389.0,1363.0,0.0,1695.411,0.7000000000000001
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.0,0.0,4702.9418,0.0,1.0
