ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
44.558,65.823,-1,-1,47.92479598322515,1347.4072899024186,668.2140686082481,-1.0,2167.53,607.085289,368.7743,0.01
65.141,34.434,-1,-1,32.41809376007584,1487.0223450925916,620.8247878051377,432.0,1495.58,810.084665,310.7259,0.02
121.236,27.71,-1,-1,20.059240457448134,1494.532772507265,808.8393524084609,399.0,1284.35,1233.103966,268.1315,0.03
149.224,-1.0,-1,0,15.99715723124736,1446.8617810736669,776.1453383544854,296.0,1275.07,950.453853,267.543,0.04
216.49,0.0,-1,0,13.81520905194058,1657.614798795206,761.2974690563358,359.0,1145.87,1044.145404,259.9765,0.05
220.48,0.0,0,0,12.158826704206382,1455.7229731594066,709.7881765848003,281.0,1364.14,1139.713442,216.8704,0.06
223.75,0.0,0,-1,14.651680632413765,1842.066661291068,509.336521900217,339.0,1216.79,1069.630145,248.1408,0.07
227.433,0.0,0,-1,37.22718741889234,1853.5699272873449,687.1462022851771,306.0,865.327,1311.662717,246.0819,0.08
192.452,0.0,0,-1,36.41993203192565,1382.7564243732552,574.758522993553,225.0,734.747,1369.073685,241.3274,0.09
214.041,0.0,0,-1,35.75953259195446,1299.766139622944,364.8495495261023,322.0,1089.23,1419.475896,226.5636,0.1
