serf_M,QPS,CPQ,algo,recall
,35163.0,52.0,SeRF,0.113
,23971.0,72.0,SeRF,0.2378
,17957.0,97.0,SeRF,0.4181
,15974.0,110.0,SeRF,0.5002
,14040.0,122.0,SeRF,0.5496
,12300.0,138.0,SeRF,0.6062
,10836.0,152.0,SeRF,0.65
,10342.0,162.0,SeRF,0.6759
,8975.0,182.0,SeRF,0.7224
,7921.0,202.0,SeRF,0.7585
,7174.0,221.0,SeRF,0.7856
,5819.0,238.0,SeRF,0.8066
,4452.0,303.0,SeRF,0.8608
,3586.0,417.0,SeRF,0.9046
,2333.0,544.0,SeRF,0.9266
,5076.8431,121.0101,DSG,0.231
,3970.8902,148.5086,DSG,0.4255
,3239.1759,177.0459,DSG,0.7004
,3107.9712,185.4168,DSG,0.7773
,2375.6981,227.7061,DSG,0.8938
,2174.6023,246.4471,DSG,0.9149
,2060.2177,258.6828,DSG,0.9259
,1809.2936,287.7487,DSG,0.9454
,1617.5673,314.8846,DSG,0.9576
,1500.9338,340.4302,DSG,0.9657
,1375.5419,365.3614,DSG,0.9717
,1077.1184,458.127,DSG,0.9844
,899.0947,542.9513,DSG,0.9891
,778.9218,622.9246,DSG,0.9918
,489.777,807.4456,DSG,0.9949
,10855.0,110.0,SeRF_onethread,0.5021
,9907.0,122.0,SeRF_onethread,0.5506
,9614.0,138.0,SeRF_onethread,0.609
,8555.0,153.0,SeRF_onethread,0.6526
,8042.0,162.0,SeRF_onethread,0.6779
,7125.0,183.0,SeRF_onethread,0.7245
,6510.0,203.0,SeRF_onethread,0.7607
,5954.0,222.0,SeRF_onethread,0.789
,5158.0,239.0,SeRF_onethread,0.8088
,3911.0,305.0,SeRF_onethread,0.8628
,2786.0,419.0,SeRF_onethread,0.9077
,1769.0,547.0,SeRF_onethread,0.9279
,1753.0,664.0,SeRF_onethread,0.9377
,1309.0,881.0,SeRF_onethread,0.9472
,1075.0,1080.0,SeRF_onethread,0.9511
,800.0,1443.0,SeRF_onethread,0.9548
,657.0,1777.0,SeRF_onethread,0.9567
,2960.5077,193.1584,DSG_onethread,0.8345
,2595.8707,207.5307,DSG_onethread,0.8637
,2402.0804,227.7061,DSG_onethread,0.8938
,2185.5167,246.4471,DSG_onethread,0.9149
,2056.6894,258.6828,DSG_onethread,0.9259
,1825.7477,287.7487,DSG_onethread,0.9454
,1651.7857,314.8846,DSG_onethread,0.9576
,1483.096,340.4302,DSG_onethread,0.9657
,1390.6187,365.3614,DSG_onethread,0.9717
,1083.7034,458.127,DSG_onethread,0.9844
,906.1886,542.9513,DSG_onethread,0.9891
,780.0851,622.9246,DSG_onethread,0.9918
,476.7167,975.5591,DSG_onethread,0.9965
,350.3659,1276.9351,DSG_onethread,0.9979
,280.4949,1547.6567,DSG_onethread,0.9985
,236.4052,1798.1683,DSG_onethread,0.9989
,202.6773,2032.6442,DSG_onethread,0.9991
,169.3656,2253.7999,DSG_onethread,0.9993
,161.8053,2466.1863,DSG_onethread,0.9994
