ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
-1.0,0.0,206.028,0.0,0.0,2380.14073704336,4224.83647069003,-1.0,6293.4,212.611798,829.0794,0.001
-1.0,0.0,277.231,0.0,0.0,2495.826012714818,4253.007410688248,-1.0,5854.41,268.448969,1653.5253,0.002
66.327,0.0,248.877,0.0,0.0,2643.741612842837,2666.667683919659,1555.0,5842.65,367.975138,1755.6229,0.003
171.822,0.0,260.432,0.0,0.0,2501.5294962866847,2061.839493545888,2554.0,4590.12,665.557358,1656.1002,0.004
166.038,0.0,203.857,0.0,0.0,2456.472661364764,2529.191075099048,4071.0,5433.89,830.55482,1484.2926,0.005
342.203,0.0,195.417,0.0,0.0,0.0,0.0,4493.0,5359.92,0.0,1109.8711,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.0,0.0,0.0,1053.2529,0.007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4238.0,0.0,0.0,2051.0166,0.008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4061.0,0.0,0.0,1934.0347,0.009000000000000001
494.104,108.966,111.925,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,4881.0,4002.29,607.085289,1415.5897,0.01
