ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
662.084,0,0,30.352247105481844,36.05544515328547,1850.6084791170176,774.992147167622,1569.0,2361.94,4332.098971,602.5136,0.1
401.525,0,0,0.0,0.0,1594.196965901291,0.0,1220.0,1948.6,3071.300035,482.7219,0.2
504.461,0,0,0.0,0.0,2012.1638337223044,0.0,1060.0,1864.66,1.245896,507.3336,0.30000000000000004
603.923,0,0,0.0,0.0,1906.7514292780145,0.0,932.0,1484.25,0.975665,482.2659,0.4
391.166,0,0,0.0,0.0,1523.5854013610074,0.0,1301.0,2094.76,0.739997,274.8931,0.5
449.137,0,0,0.0,0.0,2483.331681451307,0.0,1166.0,2125.57,0.623263,366.5152,0.6000000000000001
282.07,0,0,0.0,0.0,2116.594401191021,0.0,1183.0,1426.97,-1.0,312.0875,0.7000000000000001
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.9
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1091.949177,0.0,1.0
