Algorithm,QPS,CPQ,recall
Milvus_HNSW,302.4928108533651,-1.0,0.95842
Milvus_HNSW,298.11656512188205,-1.0,0.97175
Milvus_HNSW,293.61224054493954,-1.0,0.9796
Milvus_HNSW,291.6620030089215,-1.0,0.98312
Milvus_HNSW,265.76673446015207,-1.0,0.99593
Milvus_HNSW,250.21591340431792,-1.0,0.99794
Milvus_HNSW,235.29174701478823,-1.0,0.99876
Milvus_HNSW,220.19527406258436,-1.0,0.9991
Milvus_HNSW,191.2122737638716,-1.0,0.99956
Milvus_IVFPQ,222.85824493797503,-1.0,0.91081
Milvus_IVFPQ,202.93907739676212,-1.0,0.93529
Milvus_IVFPQ,174.13355622916546,-1.0,0.95214
Milvus_IVFPQ,142.71131255772815,-1.0,0.95936
Milvus_IVFPQ,127.6845710252291,-1.0,0.96123
Milvus_IVFPQ,102.11219766834226,-1.0,0.96323
Milvus_IVFPQ,86.04085146313012,-1.0,0.96388
Milvus_IVFPQ,66.90499911529577,-1.0,0.96433
HNSW,1787.647,987.872,0.314
HNSW,1578.528,1065.78,0.334
HNSW,1074.719,1854.818,0.488
HNSW,1015.317,2654.923,0.592
HNSW,777.249,3460.331,0.67
HNSW,769.418,6287.124,0.824
HNSW,507.275,8309.115,0.88
HNSW,398.701,12353.367,0.938
HNSW,357.985,16399.029,0.966
IVFPQ,412.321,-1.0,0.77
IVFPQ,370.111,-1.0,0.834
IVFPQ,363.73,-1.0,0.893
IVFPQ,232.558,-1.0,0.927
IVFPQ,224.502,-1.0,0.939
IVFPQ,138.625,-1.0,0.952
IVFPQ,106.832,-1.0,0.957
IVFPQ,84.66,-1.0,0.961
ACORN,1998.098,127.794,0.416
ACORN,1795.523,146.404,0.505
ACORN,1413.407,163.568,0.579
ACORN,1255.306,174.445,0.62
ACORN,1029.13,268.854,0.825
ACORN,570.433,349.048,0.891
ACORN,416.321,422.369,0.923
ACORN,369.604,491.272,0.943
ACORN,275.784,649.682,0.968
DiskANN_Stitched,3413.24,438.5,0.9908
DiskANN_Stitched,2825.23,635.73,0.9975
DiskANN_Stitched,1711.58,940.46,0.9992
DiskANN_Stitched,1159.06,1070.3,0.9995
DiskANN_Stitched,1132.96,1356.97,0.9997
DiskANN_Stitched,814.51,1606.53,0.9998
DiskANN_Stitched,591.8,2040.88,0.9999
DiskANN_Stitched,558.51,2416.45,0.9999
DiskANN_Stitched,368.8,2753.27,0.9999
DiskANN_Stitched,234.46,4115.01,1.0
NHQ_kgraph,240.309,10001.4,0.83149
