stitched_R,QPS,CPQ,recall
stitched_R=80,4199.03,624.24,0.6643000000000001
stitched_R=80,3711.74,679.71,0.6923999999999999
stitched_R=80,3232.3,800.49,0.7065
stitched_R=80,2745.05,935.35,0.745
stitched_R=80,1826.08,1430.13,0.8048000000000001
stitched_R=80,1379.2,1887.62,0.8218000000000001
stitched_R=80,1120.48,2320.93,0.8286
stitched_R=80,40.17,4738.35,0.831
stitched_R=80,24.1,6431.41,0.836
stitched_R=80,19.76,8000.07,0.8379000000000001
stitched_R=80,15.38,9480.91,0.8388
stitched_R=80,13.75,10892.76,0.8393
stitched_R=80,12.51,12247.37,0.8397
stitched_R=80,12.29,13554.83,0.84
stitched_R=80,9.54,16057.2,0.8405
stitched_R=80,7.7,18433.75,0.8409
stitched_R=80,7.24,20707.5,0.8412000000000001
stitched_R=800,1734.22,974.27,0.7145999999999999
stitched_R=800,1079.63,1507.25,0.7959999999999999
stitched_R=800,791.99,1977.99,0.8198000000000001
stitched_R=800,671.81,2414.31,0.8279000000000001
stitched_R=800,572.04,2829.92,0.8319
stitched_R=800,410.49,3806.12,0.8351999999999999
stitched_R=800,326.91,4717.87,0.8366
stitched_R=800,240.49,6409.48,0.8376
stitched_R=800,186.77,7977.64,0.838
stitched_R=800,154.46,9457.18,0.8382999999999999
stitched_R=800,137.66,10868.24,0.8386
stitched_R=800,128.67,12222.25,0.8389
stitched_R=800,114.38,13529.21,0.8391
stitched_R=800,107.62,14798.81,0.8393
stitched_R=800,100.17,16030.72,0.8395
stitched_R=800,90.07,18406.09,0.8399
stitched_R=800,80.98,20678.38,0.8401000000000001
