Algorithm,QPS,CPQ,recall
Milvus_HNSW,267.16271505342337,-1.0,0.64348
Milvus_HNSW,257.9633127353426,-1.0,0.70919
Milvus_HNSW,250.49088833469293,-1.0,0.7358
Milvus_HNSW,199.18637739910412,-1.0,0.81666
Milvus_HNSW,182.28707613807907,-1.0,0.85307
Milvus_HNSW,165.11533537084168,-1.0,0.87348
Milvus_HNSW,153.2763625362318,-1.0,0.88684
Milvus_HNSW,129.41349009401972,-1.0,0.90837
Milvus_HNSW,114.1261855430208,-1.0,0.921
Milvus_HNSW,92.3554858987402,-1.0,0.93492
Milvus_HNSW,79.53993340809266,-1.0,0.94341
Milvus_HNSW,69.92366204881249,-1.0,0.94961
Milvus_HNSW,45.623673168246185,-1.0,0.96361
Milvus_IVFPQ,165.27675209720564,-1.0,0.43908
Milvus_IVFPQ,126.77505000722812,-1.0,0.70408
Milvus_IVFPQ,100.5169434108074,-1.0,0.80672
Milvus_IVFPQ,69.05116329400849,-1.0,0.89413
Milvus_IVFPQ,48.132791284464034,-1.0,0.92692
Milvus_IVFPQ,39.36255666640661,-1.0,0.9349
Milvus_IVFPQ,17.835280549388607,-1.0,0.94622
Milvus_IVFPQ,14.79346905620548,-1.0,0.94792
Milvus_IVFPQ,13.536791329216118,-1.0,0.94844
Milvus_IVFPQ,11.636368549847116,-1.0,0.94909
Milvus_IVFPQ,10.487454298057258,-1.0,0.94936
Milvus_IVFPQ,9.119005464832377,-1.0,0.94945
HNSW,1873.357,815.05,0.56
HNSW,1851.284,887.945,0.596
HNSW,1712.822,992.167,0.637
HNSW,1559.17,1092.792,0.668
HNSW,1476.966,1159.024,0.686
HNSW,1069.539,1802.832,0.781
HNSW,850.322,2444.823,0.823
HNSW,727.492,3087.487,0.848
HNSW,686.968,3730.971,0.863
HNSW,402.735,5355.878,0.886
HNSW,329.062,6993.424,0.899
HNSW,276.89,10286.686,0.914
HNSW,241.729,13599.381,0.922
HNSW,158.314,16917.486,0.928
HNSW,155.843,20229.616,0.931
HNSW,123.256,23536.205,0.934
HNSW,110.568,26837.448,0.937
HNSW,100.459,33414.988,0.94
HNSW,75.632,39948.833,0.943
HNSW,64.083,46445.599,0.945
IVFPQ,413.73,-1.0,0.367
IVFPQ,249.315,-1.0,0.639
IVFPQ,170.832,-1.0,0.753
IVFPQ,84.88,-1.0,0.868
IVFPQ,42.518,-1.0,0.916
IVFPQ,29.96,-1.0,0.928
IVFPQ,20.145,-1.0,0.937
IVFPQ,14.771,-1.0,0.942
IVFPQ,12.762,-1.0,0.944
IVFPQ,8.727,-1.0,0.946
IVFPQ,7.757,-1.0,0.948
IVFPQ,6.144,-1.0,0.948
ACORN,1111.971,565.91,0.319
ACORN,942.408,636.373,0.382
ACORN,889.258,735.688,0.46
ACORN,692.096,887.262,0.555
ACORN,330.153,1824.789,0.781
ACORN,267.321,2215.375,0.815
ACORN,205.686,2580.416,0.836
ACORN,149.469,3423.776,0.866
ACORN,119.333,4202.746,0.883
ACORN,100.021,5643.44,0.902
ACORN,70.312,6979.28,0.912
ACORN,61.657,8245.542,0.92
ACORN,35.106,13955.401,0.936
DiskANN,4644.3,287.03,0.3081
DiskANN,3616.96,376.04,0.3463
DiskANN,2694.92,458.88,0.3715
DiskANN,2274.62,536.71,0.3885
DiskANN,1642.02,718.52,0.4165999999999999
DiskANN,1262.25,887.38,0.4352
DiskANN,1019.11,1199.03,0.456
DiskANN,730.29,1490.32,0.4697
DiskANN,646.32,1767.31,0.4797
DiskANN,327.56,3008.54,0.504
DiskANN_Stitched,2140.85,706.91,0.6848000000000001
DiskANN_Stitched,1433.17,1064.07,0.7645000000000001
DiskANN_Stitched,976.58,1397.84,0.7998999999999999
DiskANN_Stitched,780.09,1719.8,0.8201999999999999
DiskANN_Stitched,668.6,2035.11,0.8327
DiskANN_Stitched,505.05,2804.85,0.8523999999999999
DiskANN_Stitched,395.5,3557.76,0.8636
DiskANN_Stitched,282.43,5022.93,0.8761
DiskANN_Stitched,205.01,6439.46,0.8839
DiskANN_Stitched,166.3,7818.33,0.8892
DiskANN_Stitched,96.24,14292.31,0.9012
DiskANN_Stitched,86.14,16731.74,0.9036
DiskANN_Stitched,69.58,19096.29,0.9059
NHQ_kgraph,101.003,16135.8,0.91978
NHQ_nsw,94.8484,1062.44,0.33642
NHQ_nsw,91.5251,1516.76,0.51274
NHQ_nsw,89.723,1955.31,0.63707
NHQ_nsw,85.0496,2788.29,0.77578
NHQ_nsw,80.8419,3578.73,0.83179
NHQ_nsw,76.4732,4337.87,0.85466
NHQ_nsw,73.2667,5078.01,0.86692
NHQ_nsw,70.7151,5802.2,0.87499
NHQ_nsw,67.6127,6514.85,0.88004
NHQ_nsw,63.7752,7907.16,0.8866
NHQ_nsw,59.1677,9260.53,0.89164
NHQ_nsw,57.1136,10583.2,0.89505
NHQ_nsw,53.3702,11879.0,0.89792
