ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
965.448,0,0,42.3793257075698,36.05544515328547,1850.6084791170176,774.992147167622,3202.0,3402.01,4332.098971,1152.0456,0.1
401.525,0,0,0.0,0.0,1594.196965901291,0.0,2291.0,3695.38,3889.802121,694.8822,0.2
686.458,0,0,0.0,0.0,2012.1638337223044,0.0,2188.0,3342.88,1.245896,507.3336,0.30000000000000004
603.923,0,0,0.0,0.0,1906.7514292780145,0.0,2131.0,3503.18,0.975665,482.2659,0.4
391.166,0,0,0.0,0.0,1523.5854013610074,0.0,2378.0,3414.31,0.739997,611.835,0.5
975.432,0,0,0.0,0.0,2483.331681451307,0.0,2280.0,2125.57,0.623263,504.5248,0.6000000000000001
952.428,0,0,0.0,0.0,2116.594401191021,0.0,2420.0,2796.83,-1.0,452.307,0.7000000000000001
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,822.993663,0.0,0.9
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1091.949177,0.0,1.0
