serf_M,QPS,CPQ,algo,recall
,15210.0,127.0,SeRF,0.1653
,11149.0,169.0,SeRF,0.3322
,8628.0,215.0,SeRF,0.5558
,8364.0,228.0,SeRF,0.6089
,7855.0,239.0,SeRF,0.6475
,7030.0,261.0,SeRF,0.6918
,6103.0,291.0,SeRF,0.7448
,5639.0,319.0,SeRF,0.7834
,4834.0,337.0,SeRF,0.8039
,4413.0,381.0,SeRF,0.844
,3960.0,421.0,SeRF,0.8699
,3548.0,459.0,SeRF,0.889
,2929.0,497.0,SeRF,0.9043
,2440.0,640.0,SeRF,0.9405
,2221.0,773.0,SeRF,0.9581
,1919.0,898.0,SeRF,0.9677
,1475.0,1189.0,SeRF,0.9795
,2278.7831,250.0715,DSG,0.2513
,1900.4831,298.1888,DSG,0.4479
,1560.0663,351.6219,DSG,0.7247
,1477.2694,367.5198,DSG,0.8013
,1412.5629,382.1704,DSG,0.8576
,1288.0485,410.4882,DSG,0.8834
,1163.6764,451.1453,DSG,0.9098
,1058.6522,489.9635,DSG,0.9281
,1007.8971,514.6367,DSG,0.9369
,880.0541,574.465,DSG,0.9526
,792.5439,632.2251,DSG,0.9627
,726.8717,687.8106,DSG,0.9701
,681.4588,741.5647,DSG,0.9749
,526.2286,944.2403,DSG,0.9857
,436.2191,1130.7838,DSG,0.9901
,376.306,1305.1675,DSG,0.9925
,287.0993,1703.2172,DSG,0.9949
,6000.0,239.0,SeRF_onethread,0.648
,5628.0,261.0,SeRF_onethread,0.6914
,5119.0,291.0,SeRF_onethread,0.7428
,4706.0,319.0,SeRF_onethread,0.7823
,4183.0,338.0,SeRF_onethread,0.8035
,3449.0,421.0,SeRF_onethread,0.8699
,2905.0,460.0,SeRF_onethread,0.8891
,2686.0,498.0,SeRF_onethread,0.9048
,1959.0,642.0,SeRF_onethread,0.9418
,1760.0,775.0,SeRF_onethread,0.9599
,1410.0,900.0,SeRF_onethread,0.9697
,1094.0,1190.0,SeRF_onethread,0.981
,918.0,1458.0,SeRF_onethread,0.9867
,675.0,1950.0,SeRF_onethread,0.9907
,501.0,2403.0,SeRF_onethread,0.9929
,364.0,3620.0,SeRF_onethread,0.995
,325.0,3997.0,SeRF_onethread,0.9955
,1416.296,382.1704,DSG_onethread,0.8576
,1274.0347,410.4882,DSG_onethread,0.8834
,1157.2715,451.1453,DSG_onethread,0.9098
,1060.5199,489.9635,DSG_onethread,0.9281
,894.4181,574.465,DSG_onethread,0.9526
,781.5635,632.2251,DSG_onethread,0.9627
,676.3686,741.5647,DSG_onethread,0.9749
,501.8729,944.2403,DSG_onethread,0.9857
,433.1901,1130.7838,DSG_onethread,0.9901
,373.442,1305.1675,DSG_onethread,0.9925
,283.5974,1703.2172,DSG_onethread,0.9949
,194.8767,2065.5871,DSG_onethread,0.9959
,144.8647,2722.3077,DSG_onethread,0.9968
,124.2627,3318.501,DSG_onethread,0.9972
,100.5746,4395.9597,DSG_onethread,0.9976
,89.0977,4893.7555,DSG_onethread,0.9978
,80.927,5371.5053,DSG_onethread,0.9979
