Algorithm,QPS,CPQ,recall
Milvus_HNSW,104.87748136194809,-1.0,1.0
Milvus_HNSW,104.68107891365489,-1.0,1.0
Milvus_HNSW,104.63359960521316,-1.0,1.0
Milvus_HNSW,104.61071165926111,-1.0,1.0
Milvus_IVFPQ,96.49729353682577,-1.0,0.80858
Milvus_IVFPQ,96.44374164929071,-1.0,0.8588
Milvus_IVFPQ,95.7438593177692,-1.0,0.89887
Milvus_IVFPQ,95.3386976913612,-1.0,0.90846
Milvus_IVFPQ,90.11538937707964,-1.0,0.91615
Milvus_IVFPQ,82.20618074840723,-1.0,0.91906
Milvus_IVFPQ,73.62189684123625,-1.0,0.92022
Milvus_IVFPQ,66.6752836979508,-1.0,0.92074
HNSW,415.626,8203.98,0.316
HNSW,348.013,10845.742,0.379
HNSW,221.481,21416.145,0.557
HNSW,171.078,26701.342,0.617
HNSW,93.385,53115.89,0.797
IVFPQ,694.345,-1.0,0.41
IVFPQ,585.229,-1.0,0.494
IVFPQ,434.844,-1.0,0.601
IVFPQ,324.751,-1.0,0.696
IVFPQ,279.5,-1.0,0.738
IVFPQ,208.552,-1.0,0.806
IVFPQ,178.623,-1.0,0.849
IVFPQ,127.562,-1.0,0.898
IVFPQ,99.739,-1.0,0.924
IVFPQ,78.329,-1.0,0.94
IVFPQ,74.378,-1.0,0.95
DiskANN_Stitched,6882.29,400.24,0.7812
DiskANN_Stitched,6833.35,436.92,0.7998999999999999
DiskANN_Stitched,4468.98,475.91,0.816
DiskANN_Stitched,3330.15,557.15,0.8308
DiskANN_Stitched,2347.73,842.38,0.8489
DiskANN_Stitched,1775.64,1085.42,0.8548
DiskANN_Stitched,1635.58,1302.12,0.8589
DiskANN_Stitched,1286.08,1499.87,0.8626
DiskANN_Stitched,1021.21,1938.15,0.8697
DiskANN_Stitched,772.21,2321.91,0.8762000000000001
DiskANN_Stitched,579.83,2984.92,0.8872
DiskANN_Stitched,448.28,3559.15,0.897
DiskANN_Stitched,384.48,4070.09,0.9052
DiskANN_Stitched,376.19,4532.49,0.9129
DiskANN_Stitched,337.92,4956.23,0.9202
DiskANN_Stitched,268.28,5345.03,0.9266
DiskANN_Stitched,244.25,5705.83,0.9325
DiskANN_Stitched,202.78,6040.43,0.9379
DiskANN_Stitched,185.35,6639.22,0.9477
DiskANN_Stitched,176.23,7155.17,0.9559
NHQ_kgraph,330.51,17425.9,0.55753
