serf_M,QPS,CPQ,algo,recall
,59304.0,18.0,SeRF,0.1124
,57484.0,20.0,SeRF,0.1217
,48022.0,23.0,SeRF,0.1333
,45797.0,26.0,SeRF,0.1419
,40222.0,27.0,SeRF,0.1476
,27564.0,40.0,SeRF,0.1793
,19716.0,51.0,SeRF,0.1947
,16634.0,60.0,SeRF,0.2034
,12810.0,87.0,SeRF,0.2174
,7407.8244,48.0734,DSG,0.3176
,6336.3687,54.0038,DSG,0.3546
,5495.2966,62.0346,DSG,0.4016
,4399.1798,69.4984,DSG,0.439
,4014.5793,74.2734,DSG,0.4626
,2459.9841,112.8878,DSG,0.6039
,330.1851,835.2621,DSG,0.8345
,74921.0,17.0,SeRF_onethread,0.1129
,45847.0,26.0,SeRF_onethread,0.1507
,40406.0,29.0,SeRF_onethread,0.1613
,37470.0,32.0,SeRF_onethread,0.1697
,30978.0,38.0,SeRF_onethread,0.1837
,22631.0,48.0,SeRF_onethread,0.1976
,17512.0,58.0,SeRF_onethread,0.2073
,16420.0,66.0,SeRF_onethread,0.2129
,9620.0,103.0,SeRF_onethread,0.2274
,6832.0,204.0,SeRF_onethread,0.2335
,4608.0,199.0,SeRF_onethread,0.2335
,3443.0,202.0,SeRF_onethread,0.2335
,9809.9422,44.8314,DSG_onethread,0.3021
,8519.7671,50.622,DSG_onethread,0.3401
,7372.837,58.3875,DSG_onethread,0.3871
,6279.08,65.5402,DSG_onethread,0.4265
,5754.518,69.9697,DSG_onethread,0.4497
,4252.9447,90.2309,DSG_onethread,0.5393
,3775.8461,99.1393,DSG_onethread,0.5703
,3416.2958,107.6305,DSG_onethread,0.5975
,2386.0859,138.0222,DSG_onethread,0.6678
,2096.001,165.1665,DSG_onethread,0.7087
,1780.7653,190.4915,DSG_onethread,0.7345
,1317.8517,250.1778,DSG_onethread,0.7715
,1062.6671,308.8093,DSG_onethread,0.7877
,743.7426,429.2465,DSG_onethread,0.801
,584.2962,535.6944,DSG_onethread,0.8071
,491.8395,625.0516,DSG_onethread,0.8113
,425.1039,697.9304,DSG_onethread,0.8134
,352.7888,794.4679,DSG_onethread,0.8158
