ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
0.0,0.0,2333.84,935.351,0.0,369.0,16530.299,547.061,0.001
0.0,0.0,2620.05,1295.1,0.0,429.0,9701.5298,360.7877,0.002
1079.568,0.0,2796.63,1503.66,982.0,460.0,7050.9025,353.6134,0.003
783.816,0.0,2830.04,1712.28,660.0,487.0,5644.835,412.7871,0.004
758.047,0.0,2882.5,1822.73,538.0,501.0,4757.0138,461.817,0.005
529.56,0.0,0.0,0.0,493.0,519.0,0.0,507.5029,0.006
0.0,0.0,0.0,0.0,523.0,0.0,0.0,545.877,0.007
0.0,0.0,0.0,0.0,554.0,0.0,0.0,387.7829,0.008
0.0,0.0,0.0,0.0,576.0,0.0,0.0,407.2426,0.009000000000000001
637.236,8201.242,3080.89,3436.75,489.0,634.0,4897.0553,400.7209,0.01
