Algorithm,QPS,CPQ,recall
Milvus_HNSW,129.6768665681441,-1.0,0.80555
Milvus_HNSW,129.61555016263333,-1.0,0.83022
Milvus_HNSW,128.9145604451207,-1.0,0.8775
Milvus_HNSW,128.4352594433249,-1.0,0.88866
Milvus_HNSW,125.07773551632336,-1.0,0.9422
Milvus_HNSW,122.47904511043797,-1.0,0.96163
Milvus_HNSW,117.90244069906852,-1.0,0.97187
Milvus_HNSW,114.7418398742781,-1.0,0.97738
Milvus_HNSW,105.30372264334952,-1.0,0.98489
Milvus_IVFPQ,101.4760378826094,-1.0,0.81199
Milvus_IVFPQ,99.48913965935898,-1.0,0.83584
Milvus_IVFPQ,96.99851143284192,-1.0,0.86086
Milvus_IVFPQ,89.85337777801114,-1.0,0.87776
Milvus_IVFPQ,86.29555155713274,-1.0,0.88364
Milvus_IVFPQ,75.6407320519045,-1.0,0.89279
Milvus_IVFPQ,67.61651156720605,-1.0,0.89827
Milvus_IVFPQ,55.623102092047816,-1.0,0.90402
HNSW,380.226,1073.249,0.716
HNSW,373.909,1376.122,0.786
HNSW,364.362,1675.211,0.829
HNSW,311.795,2875.225,0.908
HNSW,266.345,6496.475,0.965
HNSW,179.193,9539.112,0.977
IVFPQ,764.763,-1.0,0.72
IVFPQ,503.189,-1.0,0.785
IVFPQ,391.55,-1.0,0.817
IVFPQ,244.68,-1.0,0.854
IVFPQ,170.589,-1.0,0.883
IVFPQ,139.093,-1.0,0.894
IVFPQ,97.365,-1.0,0.913
IVFPQ,74.84,-1.0,0.926
IVFPQ,54.079,-1.0,0.94
IVFPQ,40.818,-1.0,0.948
IVFPQ,33.684,-1.0,0.953
ACORN,1597.868,989.551,0.548
ACORN,805.722,1123.173,0.602
ACORN,583.153,2029.052,0.779
ACORN,254.948,6080.753,0.923
DiskANN,3035.11,364.83,0.5207999999999999
DiskANN,2515.72,549.27,0.6321
DiskANN,2074.44,715.53,0.6876000000000001
DiskANN,1505.87,1028.59,0.7486
DiskANN,505.49,1402.11,0.7888
DiskANN,440.81,1763.97,0.8131999999999999
DiskANN,396.81,3818.22,0.8687999999999999
DiskANN,206.58,7031.08,0.897
DiskANN_Stitched,2653.91,977.92,0.8248000000000001
DiskANN_Stitched,1761.6,1491.97,0.8901
DiskANN_Stitched,1025.25,2448.54,0.9324
DiskANN_Stitched,589.24,4026.78,0.9559
DiskANN_Stitched,311.55,7206.89,0.9727
DiskANN_Stitched,257.47,9225.26,0.9774
DiskANN_Stitched,145.24,11183.72,0.9801
DiskANN_Stitched,79.33,20386.37,0.9866
NHQ_kgraph,216.502,18247.1,0.97783
NHQ_nsw,56.1039,890.79,0.46466
NHQ_nsw,55.8998,1187.56,0.61926
NHQ_nsw,55.6589,1481.75,0.72182
NHQ_nsw,55.0365,2200.82,0.85464
NHQ_nsw,54.6777,2896.8,0.91235
NHQ_nsw,53.8046,4233.57,0.95387
NHQ_nsw,52.8972,5517.36,0.96972
NHQ_nsw,52.3394,6760.51,0.97754
NHQ_nsw,51.3029,7971.04,0.98197
NHQ_nsw,50.0794,9155.1,0.98508
NHQ_nsw,49.5568,10317.0,0.98695
NHQ_nsw,48.8071,12582.8,0.98942
NHQ_nsw,46.8642,14783.2,0.99068
