Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Baseline,none,none,0.001,0,2147483647,0.001
Baseline,HNSW,HNSW,0.01,252.901,16126.064,0.01
Baseline,HNSW,HNSW,0.02,303.956,8201.242,0.02
Baseline,HNSW,HNSW,0.03,363.384,8201.242,0.03
Baseline,HNSW,HNSW,0.04,410.46,5563.487,0.04
Baseline,HNSW,HNSW,0.05,404.062,5563.487,0.05
Baseline,HNSW,HNSW,0.06,395.324,4509.901,0.06
Baseline,HNSW,HNSW,0.07,400.995,4509.901,0.07
Baseline,HNSW,HNSW,0.08,426.312,4509.901,0.08
Baseline,HNSW,HNSW,0.09,439.958,4509.901,0.09
Baseline,HNSW,HNSW,0.1,426.098,4509.901,0.1
Baseline,HNSW,HNSW,0.2,452.266,3460.198,0.2
Baseline,HNSW,HNSW,0.3,493.352,2422.108,0.3
Baseline,HNSW,HNSW,0.4,507.112,2422.108,0.4
Baseline,HNSW,HNSW,0.5,509.048,2422.108,0.5
Baseline,HNSW,HNSW,0.6,444.987,2422.108,0.6
Baseline,HNSW,HNSW,0.7,500.729,2422.108,0.7
Baseline,HNSW,HNSW,0.8,562.028,2422.108,0.8
Baseline,HNSW,HNSW,0.9,541.896,2422.108,0.9
Baseline,HNSW,HNSW,1.0,456.621,2422.108,1.0
Best,iRangeGraph,iRangeGraph,0.001,6293.4,375.0,0.001
Best,WST_opt,DSG,0.01,3124.417519754325,635.1812,0.01
Best,iRangeGraph,DSG,0.02,2522.04,789.7183,0.02
Best,UNIFY,DSG,0.03,2257.732672,856.4588,0.03
Best,UNIFY,DSG,0.04,2816.878555,896.683,0.04
Best,UNIFY,DSG,0.05,2975.562429,923.703,0.05
Best,iRangeGraph,DSG,0.06,2598.95,940.231,0.06
Best,UNIFY,DSG,0.07,3495.874725,956.5253,0.07
Best,UNIFY,iRangeGraph,0.08,3989.367404,1212.0,0.08
Best,UNIFY,iRangeGraph,0.09,3873.98867,1219.0,0.09
Best,UNIFY,iRangeGraph,0.1,4315.691898,1227.0,0.1
Best,UNIFY,iRangeGraph,0.2,3756.906196,1268.0,0.2
Best,UNIFY,iRangeGraph,0.3,3793.076536,1284.0,0.3
Best,UNIFY,iRangeGraph,0.4,3609.348447,1301.0,0.4
Best,iRangeGraph,iRangeGraph,0.5,2094.76,1285.0,0.5
Best,WST_opt,iRangeGraph,0.6,2483.331681451307,1330.0,0.6
Best,WST_opt,iRangeGraph,0.7,2116.594401191021,1363.0,0.7
Best,WST_opt,iRangeGraph,0.8,2282.506973141128,1404.0,0.8
Best,iRangeGraph,iRangeGraph,0.9,2785.06,1468.0,0.9
Best,iRangeGraph,iRangeGraph,1.0,2568.97,1452.0,1.0
