ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
-1.0,0.0,-1,0.0,0.0,2380.14073704336,4224.83647069003,-1.0,3645.01,212.611798,-1.0,0.001
-1.0,0.0,-1,0.0,0.0,2495.826012714818,4253.007410688248,-1.0,2741.98,268.448969,473.9962,0.002
-1.0,0.0,-1,0.0,0.0,2643.741612842837,2666.667683919659,-1.0,1336.85,367.975138,722.8008,0.003
-1.0,0.0,-1,0.0,0.0,2501.5294962866847,2011.446478156862,-1.0,3266.48,665.557358,653.8546,0.004
-1.0,0.0,-1,0.0,0.0,2456.472661364764,2075.965217976635,614.0,2314.23,830.55482,736.5205,0.005
75.735,0.0,-1,0.0,0.0,0.0,0.0,1039.0,2270.74,0.0,766.0386,0.006
0.0,0.0,0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,856.8126,0.007
0.0,0.0,0,0.0,0.0,0.0,0.0,961.0,0.0,0.0,819.7508,0.008
0.0,0.0,0,0.0,0.0,0.0,0.0,1259.0,0.0,0.0,775.5204,0.009000000000000001
167.839,80.383,-1,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,1376.0,2696.54,607.085289,680.7819,0.01
