serf_M,QPS,CPQ,recall
M=8,19447.0,143.0,0.3589
M=8,17565.0,153.0,0.3937
M=8,15777.0,163.0,0.4238
M=8,14033.0,181.0,0.4682
M=8,12835.0,206.0,0.5221
M=8,10797.0,229.0,0.5644
M=8,10795.0,244.0,0.5895
M=8,8658.0,279.0,0.6391
M=8,8331.0,311.0,0.6767
M=8,7530.0,342.0,0.7069
M=8,6754.0,372.0,0.7323
M=8,5191.0,489.0,0.7991
M=8,3968.0,599.0,0.84
M=8,3502.0,704.0,0.8677
M=8,2533.0,958.0,0.9074
M=8,1969.0,1199.0,0.9284
M=8,1376.0,1653.0,0.9507
M=8,1014.0,2080.0,0.9611
M=8,921.0,2486.0,0.9675
M=8,517.0,4324.0,0.9794
M=40,17579.0,160.0,0.3759
M=40,12224.0,228.0,0.5384
M=40,10897.0,253.0,0.5828
M=40,9748.0,269.0,0.6076
M=40,7466.0,344.0,0.6964
M=40,6230.0,413.0,0.7534
M=40,4662.0,547.0,0.8227
M=40,2323.0,1097.0,0.9269
M=40,1614.0,1381.0,0.9447
M=40,1351.0,1915.0,0.9628
M=40,1054.0,2416.0,0.9714
M=40,740.0,3345.0,0.9792
M=40,652.0,3785.0,0.9814
M=40,366.0,4209.0,0.9829
