ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
3080.349,0,4017.8,6206.92,2787.0,1714.0,2022.7965,1595.3099,0.1
3714.601,0,4134.17,0.0,3437.0,1765.0,2052.5862,1965.2612,0.2
4704.258,0,4459.22,0.0,3657.0,1791.0,3000790.0,1996.6885,0.30000000000000004
4785.922,0,4281.5,0.0,3824.0,1813.0,4001018.0,2747.0311,0.4
6689.33,0,4845.02,0.0,3978.0,2296.0,5001335.0,2752.6734,0.5
8351.682,0,5182.22,0.0,4124.0,2374.0,6001440.0,2752.1396,0.6000000000000001
11754.878,0,5182.22,0.0,4268.0,2434.0,0.0,2741.7721,0.7000000000000001
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.0,0.0,4702.9418,0.0,1.0
