serf_M,QPS,CPQ,recall
M=8,11884.0,270.0,0.4231
M=8,9421.0,286.0,0.4494
M=8,7883.0,317.0,0.4907
M=8,7760.0,399.0,0.583
M=8,5685.0,485.0,0.6535
M=8,5449.0,543.0,0.6907
M=8,4863.0,598.0,0.7194
M=8,4418.0,654.0,0.745
M=8,3383.0,864.0,0.8116
M=8,2699.0,1068.0,0.8524
M=8,2164.0,1266.0,0.8796
M=8,1154.0,1743.0,0.9198
M=8,1124.0,2200.0,0.9415
M=8,878.0,3067.0,0.9636
M=8,699.0,3889.0,0.9743
M=8,577.0,4677.0,0.9803
M=8,322.0,8273.0,0.9923
M=40,9703.0,365.0,0.4826
M=40,8624.0,408.0,0.5483
M=40,6706.0,507.0,0.6395
M=40,5956.0,563.0,0.6821
M=40,4394.0,772.0,0.786
M=40,3686.0,856.0,0.8133
M=40,1909.0,1579.0,0.9266
M=40,1302.0,2621.0,0.9711
M=40,1038.0,3320.0,0.9822
M=40,720.0,4638.0,0.9916
M=40,569.0,5875.0,0.9951
M=40,464.0,7054.0,0.9967
M=40,391.0,8184.0,0.9977
M=40,344.0,9277.0,0.9982
M=40,317.0,10334.0,0.9987
