ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
353.233,97.34,81.175,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,2363.0,2696.54,607.085289,1228.5506,0.01
186.417,39.147,27.778,21.885323187540315,32.41809376007584,1487.0223450925916,965.3325061320294,2106.0,3295.9,810.084665,1015.1685,0.02
423.592,27.71,15.951,-1.0,20.059240457448134,2100.1285121402566,1155.188076546898,1899.0,1744.66,2257.732672,923.9964,0.03
601.756,17.949,-1.0,0.0,15.99715723124736,1854.8300470417848,1355.5239641464366,1819.0,1275.07,2816.878555,872.4231,0.04
486.846,0.0,-1.0,0.0,13.81520905194058,2187.9794008897347,1285.4643611835431,1696.0,2405.72,2975.562429,769.6945,0.05
490.687,0.0,0.0,0.0,12.158826704206382,2464.100412392598,1221.5718614744712,1656.0,2598.95,1892.890388,822.0789,0.06
635.806,0.0,0.0,48.8056351011906,14.651680632413765,2525.4801210528917,954.6723294009936,1586.0,2232.33,3495.874725,805.2605,0.07
652.866,0.0,0.0,37.00921311818124,37.64454104885662,1853.5699272873449,903.4358855471484,1571.0,1647.96,3989.367404,616.4675,0.08
458.968,0.0,0.0,35.654695574586384,36.85758283207469,2360.064481246303,706.3367301670803,1596.0,1412.21,3873.98867,611.9681,0.09
662.084,0.0,0.0,30.352247105481844,36.05544515328547,1850.6084791170176,774.992147167622,1569.0,2361.94,4332.098971,602.5136,0.1
