Algorithm,QPS,CPQ,recall
Milvus_HNSW,170.04027623258355,-1.0,0.75394
Milvus_HNSW,169.88439176255216,-1.0,0.81684
Milvus_HNSW,169.42735342086863,-1.0,0.84204
Milvus_HNSW,168.07651699080336,-1.0,0.85504
Milvus_HNSW,166.0657566318338,-1.0,0.92288
Milvus_HNSW,165.09435271221722,-1.0,0.94833
Milvus_HNSW,162.67646547704464,-1.0,0.96176
Milvus_HNSW,160.11869761088076,-1.0,0.97005
Milvus_HNSW,150.7861019917616,-1.0,0.98048
Milvus_IVFPQ,179.45269193135508,-1.0,0.78562
Milvus_IVFPQ,176.61712067711292,-1.0,0.81327
Milvus_IVFPQ,167.25027758583005,-1.0,0.84215
Milvus_IVFPQ,150.12746146852965,-1.0,0.86302
Milvus_IVFPQ,139.4187514375478,-1.0,0.87066
Milvus_IVFPQ,116.83951472684448,-1.0,0.88313
Milvus_IVFPQ,101.3067671655504,-1.0,0.8902
Milvus_IVFPQ,80.88383135932207,-1.0,0.89719
HNSW,524.484,1674.697,0.653
HNSW,456.646,2872.291,0.79
HNSW,374.198,4074.23,0.853
HNSW,355.504,5282.04,0.89
HNSW,299.583,6497.361,0.913
HNSW,289.897,9537.546,0.943
IVFPQ,996.722,-1.0,0.665
IVFPQ,808.488,-1.0,0.74
IVFPQ,604.296,-1.0,0.779
IVFPQ,470.253,-1.0,0.823
IVFPQ,312.899,-1.0,0.858
IVFPQ,240.53,-1.0,0.873
IVFPQ,191.93,-1.0,0.897
IVFPQ,157.813,-1.0,0.912
IVFPQ,102.622,-1.0,0.929
IVFPQ,81.105,-1.0,0.94
IVFPQ,67.987,-1.0,0.946
ACORN,1100.436,975.681,0.671
ACORN,558.919,1654.034,0.807
ACORN,190.433,2296.011,0.859
ACORN,166.912,2917.886,0.886
ACORN,145.914,3521.252,0.906
ACORN,128.55,4974.839,0.931
DiskANN,1364.56,581.67,0.3614
DiskANN,1087.74,738.75,0.4119
DiskANN,768.75,1036.32,0.4828
DiskANN,222.03,2188.87,0.5339
DiskANN_Stitched,1710.28,932.41,0.8287
DiskANN_Stitched,1098.56,1922.16,0.925
DiskANN_Stitched,695.99,3919.14,0.9629
DiskANN_Stitched,528.04,4959.58,0.9706
DiskANN_Stitched,346.0,6933.81,0.9784
DiskANN_Stitched,254.55,8804.35,0.9825
DiskANN_Stitched,184.82,10594.85,0.9848
DiskANN_Stitched,111.86,18736.99,0.991
NHQ_kgraph,284.098,17805.7,0.97078
NHQ_nsw,3525.11,1417.59,0.33325
NHQ_nsw,2250.02,1169.49,0.429
NHQ_nsw,2101.04,2120.87,0.43968
NHQ_nsw,1752.82,2807.5,0.50812
NHQ_nsw,1182.69,4131.05,0.60364
NHQ_nsw,918.129,5400.45,0.67067
NHQ_nsw,664.808,6626.81,0.72155
NHQ_nsw,663.945,7817.52,0.75957
NHQ_nsw,607.556,8975.72,0.79196
NHQ_nsw,526.284,10106.5,0.81649
NHQ_nsw,294.836,16412.4,0.90296
NHQ_nsw,266.957,18368.7,0.91624
