Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.001,555.661481,6173.9529,0.001
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.01,2958.308089,1506.0792,0.01
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.02,2612.386774,1720.3725,0.02
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.03,3514.455145,1317.725,0.03
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.04,3939.150638,1117.1353,0.04
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.05,5374.631017,995.4113,0.05
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.06,5268.637049,916.4676,0.06
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.07,5875.822086,857.2602,0.07
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.08,5676.397089,809.2818,0.08
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.09,5775.008802,780.8148,0.09
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.1,6516.651604,755.6362,0.1
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.2,5763.572683,774.4982,0.2
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.3,4758.774617,1025.9834,0.3
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.4,4471.800698,1123.4178,0.4
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.5,5612.473293,948.7267,0.5
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.6,5321.076546,1029.0854,0.6
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.7,5366.817253,986.3597,0.7
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.8,4161.791254,1098.2362,0.8
Baseline,UNIFY_hybrid,UNIFY_hybrid,0.9,4851.878064,1053.4915,0.9
Baseline,UNIFY_hybrid,UNIFY_hybrid,1.0,4639.479195,1123.4388,1.0
Prepost,UNIFY,UNIFY,0.001,212.611798,16530.299,0.001
Prepost,UNIFY,UNIFY,0.01,72.062727,50064.1962,0.01
Prepost,UNIFY,UNIFY,0.02,810.084665,2963.2942,0.02
Prepost,UNIFY,UNIFY,0.03,2257.732672,2251.9706,0.03
Prepost,UNIFY,UNIFY,0.04,2816.878555,1878.6554,0.04
Prepost,UNIFY,UNIFY,0.05,2975.562429,1654.2483,0.05
Prepost,UNIFY,UNIFY,0.06,1707.039595,1505.0284,0.06
Prepost,UNIFY,UNIFY,0.07,3495.874725,1392.167,0.07
Prepost,UNIFY,UNIFY,0.08,3989.367404,1307.695,0.08
Prepost,UNIFY,UNIFY,0.09,3873.98867,1251.533,0.09
Prepost,UNIFY,UNIFY,0.1,7286.227943,755.6362,0.1
Prepost,UNIFY,UNIFY,0.2,5375.131757,774.4982,0.2
Prepost,UNIFY,UNIFY,0.3,5149.099452,856.1375,0.3
Prepost,UNIFY,UNIFY,0.4,4521.251522,1123.4178,0.4
Prepost,UNIFY,UNIFY,0.5,952.774457,4950.8174,0.5
Prepost,UNIFY,UNIFY,0.6,805.815267,5968.9603,0.6
Prepost,UNIFY,UNIFY,0.7,966.148397,5224.9778,0.7
Prepost,UNIFY,UNIFY,0.8,990.121761,5224.9778,0.8
Prepost,UNIFY,UNIFY,0.9,1043.249533,4716.9517,0.9
Prepost,UNIFY,UNIFY,1.0,1131.357117,4716.9517,1.0
