ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
637.236,8201.242,3080.89,3436.75,489.0,634.0,4897.0553,400.7209,0.01
781.183,5563.487,3303.35,4195.07,608.0,673.0,2963.2942,494.5803,0.02
1019.266,4509.901,3602.97,4710.37,679.0,701.0,2251.9706,536.1358,0.03
1201.723,5563.487,3506.27,5021.41,727.0,712.0,1878.6554,559.9223,0.04
1346.209,0.0,3854.44,5300.09,763.0,728.0,1654.2483,578.6955,0.05
1465.224,0.0,3834.83,5558.76,715.0,739.0,1505.0284,588.8686,0.06
1566.639,0.0,3641.2,5772.66,745.0,746.0,1392.167,633.4038,0.07
1650.623,0.0,3685.49,5908.0,835.0,751.0,1307.695,641.6142,0.08
1720.506,0.0,3847.84,6075.31,851.0,761.0,1251.533,647.5313,0.09
1779.992,0.0,4017.8,6206.92,866.0,768.0,1201.4121,652.3664,0.1
