ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
1700.971,21413.558,3080.89,3436.75,1653.0,1064.0,4897.0553,1016.5116,0.01
1632.088,16126.064,3303.35,4195.07,2085.0,1121.0,2963.2942,1269.339,0.02
1770.408,10842.594,3602.97,4710.37,1698.0,1156.0,2251.9706,1275.486,0.03
2079.537,0.0,3506.27,5021.41,1824.0,1635.0,1878.6554,1376.1515,0.04
2331.071,0.0,3854.44,5300.09,1923.0,1659.0,2779.2032,1444.7626,0.05
2533.463,0.0,3834.83,5558.76,1996.0,1679.0,2574.1565,1518.8634,0.06
2707.373,0.0,3641.2,5772.66,2581.0,1689.0,2365.7957,1546.5701,0.07
2852.0,0.0,3685.49,5908.0,2654.0,1694.0,2216.137,1562.9636,0.08
2975.313,0.0,3847.84,6075.31,2727.0,1705.0,2107.1505,1580.643,0.09
3080.349,0.0,4017.8,6206.92,2787.0,1714.0,2022.7965,1595.3099,0.1
