ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
-1.0,0.0,-1,0,0.0,1953.6657060054283,2647.600276431349,-1,3645.01,212.611798,-1.0,0.001
-1.0,0.0,-1,0,0.0,2495.826012714818,1842.3088280826576,-1,2741.98,268.448969,-1.0,0.002
-1.0,0.0,-1,0,0.0,2371.940339562138,1891.5857189946853,-1,1336.85,367.975138,314.4291,0.003
-1.0,0.0,-1,0,0.0,2501.5294962866847,1299.8964528074628,-1,1357.21,517.423925,374.965,0.004
-1.0,0.0,-1,0,0.0,1870.4773594769715,1079.765901888779,-1,1844.85,573.605253,346.9774,0.005
-1.0,0.0,-1,0,0.0,0.0,0.0,-1,1844.93,0.0,263.801,0.006
0.0,0.0,0,0,0.0,0.0,0.0,-1,0.0,0.0,306.6357,0.007
0.0,0.0,0,0,0.0,0.0,0.0,-1,0.0,0.0,402.6037,0.008
0.0,0.0,0,0,0.0,0.0,0.0,-1,0.0,0.0,388.7272,0.009000000000000001
44.558,65.823,-1,-1,47.92479598322515,1347.4072899024186,668.2140686082481,-1,2167.53,607.085289,368.7743,0.01
