ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
1779.992,0,4017.8,6206.92,866.0,768.0,1201.4121,652.3664,0.1
2121.693,0,4134.17,0.0,958.0,788.0,774.7419,1029.7612,0.2
2237.898,0,3874.03,0.0,1254.0,817.0,3000790.0,1048.2411,0.30000000000000004
2277.33,0,4185.69,0.0,1056.0,842.0,4001018.0,1052.0647,0.4
2283.949,0,4407.37,0.0,1093.0,839.0,5001335.0,1056.6736,0.5
2267.123,0,3479.96,0.0,1129.0,885.0,6001440.0,1054.8095,0.6000000000000001
2308.715,0,3009.71,0.0,1167.0,916.0,0.0,1053.2117,0.7000000000000001
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,0,0.0,0.0,0.0,0.0,5209.4216,0.0,0.9
0.0,0,0.0,0.0,0.0,0.0,4702.9418,0.0,1.0
