ACORN,HNSW,IVFPQ,Milvus_IVFPQ,Milvus_HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
494.104,108.966,111.925,120.86362935673122,47.92479598322515,1401.9104642557627,785.7351118858907,4881.0,4002.29,607.085289,1415.5897,0.01
238.581,43.895,27.778,32.436222123504365,32.41809376007584,1487.0223450925916,965.3325061320294,4294.0,3295.9,810.084665,1647.8501,0.02
423.592,27.71,21.339,28.11472610358044,20.059240457448134,2100.1285121402566,1155.188076546898,3813.0,3630.09,2257.732672,1402.6241,0.03
601.756,17.949,17.057,0.0,15.99715723124736,1854.8300470417848,1355.5239641464366,3644.0,1275.07,2816.878555,1444.1313,0.04
486.846,0.0,11.823,0.0,13.81520905194058,2187.9794008897347,1285.4643611835431,3438.0,3458.83,2975.562429,1290.1926,0.05
892.164,0.0,0.0,0.0,12.158826704206382,2464.100412392598,1221.5718614744712,3322.0,2598.95,1892.890388,1320.1883,0.06
908.321,0.0,0.0,55.28001994712832,14.651680632413765,2525.4801210528917,954.6723294009936,2634.0,2232.33,3495.874725,1251.846,0.07
905.818,0.0,0.0,45.49192601676484,37.64454104885662,1853.5699272873449,903.4358855471484,3258.0,3744.36,3989.367404,1250.0967,0.08
941.304,0.0,0.0,43.47235267762012,36.85758283207469,2360.064481246303,706.3367301670803,2676.0,2459.16,3873.98867,805.595,0.09
965.448,0.0,0.0,42.3793257075698,36.05544515328547,1850.6084791170176,774.992147167622,3202.0,3402.01,4332.098971,1152.0456,0.1
