Algorithm,QPS,CPQ,recall
Milvus_HNSW,359.8806717381739,-1.0,0.86581
Milvus_HNSW,357.17449298139974,-1.0,0.8906
Milvus_HNSW,354.3355745869886,-1.0,0.91766
Milvus_HNSW,348.7897763870736,-1.0,0.93634
Milvus_HNSW,344.25999434203663,-1.0,0.94502
Milvus_HNSW,328.98817779526047,-1.0,0.98274
Milvus_HNSW,309.925947771716,-1.0,0.9918
Milvus_HNSW,293.1566744832852,-1.0,0.99507
Milvus_HNSW,283.4564165208133,-1.0,0.99675
Milvus_HNSW,258.846433943725,-1.0,0.99846
Milvus_IVFPQ,116.9911326339978,-1.0,0.95382
Milvus_IVFPQ,115.83032769573346,-1.0,0.95899
Milvus_IVFPQ,108.36588035703063,-1.0,0.96103
Milvus_IVFPQ,99.50160449890964,-1.0,0.96145
Milvus_IVFPQ,81.05233491306102,-1.0,0.96198
Milvus_IVFPQ,68.5472083894499,-1.0,0.96222
Milvus_IVFPQ,52.30205088300232,-1.0,0.96236
HNSW,1653.235,873.772,0.712
HNSW,1160.607,1065.637,0.776
HNSW,804.78,1854.827,0.906
HNSW,787.29,2655.19,0.951
HNSW,648.56,3460.818,0.972
HNSW,457.678,6288.568,0.993
IVFPQ,440.275,-1.0,0.89
IVFPQ,362.523,-1.0,0.916
IVFPQ,282.791,-1.0,0.938
IVFPQ,191.108,-1.0,0.948
IVFPQ,158.952,-1.0,0.952
IVFPQ,107.359,-1.0,0.955
IVFPQ,80.287,-1.0,0.956
IVFPQ,64.438,-1.0,0.957
ACORN,1715.684,521.801,0.844
ACORN,1253.61,650.7,0.913
ACORN,1077.248,690.44,0.925
ACORN,494.102,1038.4,0.973
ACORN,470.272,1336.654,0.985
ACORN,366.0,1856.168,0.993
ACORN,240.367,2421.813,0.996
DiskANN,1327.24,420.86,0.3217
DiskANN,960.4,539.46,0.3897
DiskANN,562.41,763.72,0.4905
DiskANN,419.42,1151.07,0.6001
DiskANN,183.92,1956.54,0.7015
DiskANN_Stitched,1822.24,620.47,0.9748
DiskANN_Stitched,1307.97,899.32,0.9913
DiskANN_Stitched,1005.22,1141.32,0.9954
DiskANN_Stitched,745.4,1360.24,0.997
DiskANN_Stitched,742.25,1562.86,0.9977
DiskANN_Stitched,546.06,2022.25,0.9985
DiskANN_Stitched,448.37,2436.5,0.9989
DiskANN_Stitched,350.34,3180.73,0.9992
DiskANN_Stitched,289.38,3848.95,0.9994
DiskANN_Stitched,229.01,4464.94,0.9995
DiskANN_Stitched,162.45,7113.5,0.9997
NHQ_kgraph,235.056,11053.9,0.98095
NHQ_nsw,3449.98,383.311,0.34755
NHQ_nsw,2724.64,561.792,0.51507
NHQ_nsw,2063.96,734.683,0.62814
NHQ_nsw,1404.11,900.563,0.71401
NHQ_nsw,1113.32,1286.82,0.84766
