ACORN,HNSW,WST_opt,WST_vamana,SeRF,iRangeGraph,UNIFY,DSG,Selectivity
6051.948,53107.595,3871.76,5660.95,0.0,1485.0,4897.0553,1987.9519,0.01
3891.155,26697.132,4159.17,6930.15,5481.0,1997.0,4663.5883,2496.3358,0.02
5009.166,21413.558,4161.82,7804.75,6211.0,2067.0,3903.6426,2728.3762,0.03
5871.754,0.0,4428.43,8319.44,6715.0,2537.0,4471.9774,2866.5877,0.04
4796.176,0.0,4377.95,8791.51,6307.0,2576.0,3922.0658,2961.5338,0.05
5213.375,0.0,4426.07,9224.28,6612.0,2609.0,4399.984,3029.9486,0.06
5573.207,0.0,4626.85,9582.17,6916.0,2626.0,4097.7016,3083.1721,0.07
5877.061,0.0,4686.02,9809.58,7127.0,2635.0,3831.7907,3125.1219,0.08
6139.811,0.0,4657.35,10089.5,7340.0,2652.0,3774.03,3161.0709,0.09
6367.552,0.0,6353.59,10308.4,7512.0,2667.0,3679.2246,3195.3913,0.1
