stitched_R,QPS,CPQ,recall
stitched_R=80,6882.29,400.24,0.7812
stitched_R=80,6833.35,436.92,0.7998999999999999
stitched_R=80,5862.53,488.43,0.8170000000000001
stitched_R=80,5030.84,568.97,0.8328
stitched_R=80,3477.82,853.09,0.8509
stitched_R=80,2833.03,1095.06,0.8567
stitched_R=80,2345.92,1310.92,0.8606999999999999
stitched_R=80,314.61,1942.25,0.8697
stitched_R=80,207.28,2326.9,0.8769
stitched_R=80,172.21,2993.04,0.8886
stitched_R=80,127.22,3572.54,0.8986
stitched_R=80,119.1,4089.35,0.9074
stitched_R=80,101.7,4557.81,0.9152
stitched_R=80,87.75,4988.43,0.9226
stitched_R=80,77.15,5384.23,0.9291
stitched_R=80,69.97,5751.36,0.9351
stitched_R=80,63.48,6090.73,0.9407
stitched_R=80,56.93,6696.18,0.9506
stitched_R=80,49.39,7214.16,0.959
stitched_R=800,4468.98,475.91,0.816
stitched_R=800,3330.15,557.15,0.8308
stitched_R=800,2347.73,842.38,0.8489
stitched_R=800,1775.64,1085.42,0.8548
stitched_R=800,1635.58,1302.12,0.8589
stitched_R=800,1286.08,1499.87,0.8626
stitched_R=800,1021.21,1938.15,0.8697
stitched_R=800,772.21,2321.91,0.8762000000000001
stitched_R=800,579.83,2984.92,0.8872
stitched_R=800,448.28,3559.15,0.897
stitched_R=800,384.48,4070.09,0.9052
stitched_R=800,376.19,4532.49,0.9129
stitched_R=800,337.92,4956.23,0.9202
stitched_R=800,268.28,5345.03,0.9266
stitched_R=800,244.25,5705.83,0.9325
stitched_R=800,202.78,6040.43,0.9379
stitched_R=800,185.35,6639.22,0.9477
stitched_R=800,176.23,7155.17,0.9559
